,Time,Thorax_Q0,Thorax_Q1,Thorax_Q2,Thorax_Q3,Humerus_Q0,Humerus_Q1,Humerus_Q2,Humerus_Q3,Radius_Q0,Radius_Q1,Radius_Q2,Radius_Q3
0,8501.0,0.7798865778283298,-0.05783783115644331,0.6173916762521447,-0.08520110976332496,0.8307775829484813,0.021736065695069383,0.5401124981861057,-0.13272015830891223,0.3845871365139763,-0.16335890663016825,-0.9085026321213463,0.005437782743168951
1,8535.0,0.7730824483868886,-0.04479090790963959,0.624583275152954,-0.10115846461850506,0.790428647426341,0.03480360612417716,0.6002529726027306,-0.11707959348282461,0.45142937350628404,-0.1491584454839135,-0.879721621800255,-0.0072901998378291305
2,8568.0,0.7872618075692911,-0.053205298944270056,0.6071338873076053,-0.09368289806437026,0.8195941436504416,0.037271070569275595,0.5571469166018351,-0.12831063990794822,0.40378548537918924,-0.1615660347516146,-0.9004195141962423,-0.009919509379784473
3,8601.0,0.789652992314476,-0.05693840560599153,0.6028344827064458,-0.09897856412321414,0.8250625719562994,0.04460613407582126,0.5474479648764242,-0.1326000411475334,0.39340530811728447,-0.1673495734388786,-0.9038461880421425,-0.016983879905892042
4,8635.0,0.795557367035407,-0.05640907982554476,0.5946455303931996,-0.10150460409417977,0.8290297697705693,0.04533684624866141,0.5403493854976384,-0.13666291669178837,0.3853214783901862,-0.1768913459246385,-0.9053740664409788,-0.023121631523253017
5,8668.0,0.8025418122475642,-0.060101741698847314,0.5861511090574858,-0.09349490675881673,0.10347613460350819,-0.1190835948724964,-0.9872791993257138,-0.0197881171043906,0.9934588906544827,-0.02749712806907458,-0.06676802450096327,-0.08846112949627159
6,8701.0,0.8096392730119316,-0.05438270911081632,0.5771380116050542,-0.09186122199842281,0.08562618928311275,-0.1309418070016445,-0.9873903210810685,-0.02414027181746812,0.9911647362073871,-0.04198932595952108,-0.08026873680460704,-0.09688287824068045
7,8735.0,0.784059701305891,-0.052113923765948963,0.6116062769304932,-0.09204502027298786,0.2176185188789214,0.11724969491399584,0.9688930415461697,-0.01187279777187013,0.9172623124579317,-0.13729094285616383,-0.36185165682099546,-0.09404480639511126
8,8768.0,0.7839590044543875,-0.05846397838104756,0.6100580928689341,-0.09909271361641679,0.21780452400679154,0.12590158047677882,0.9677979903110705,-0.00877674800124417,0.9165045027641132,-0.14192645597410067,-0.35944302939004824,-0.10332998659944868
9,8801.0,0.7976607652301244,-0.07276200981427558,0.5868320381637898,-0.11862188889413225,0.11074539324576285,0.13071435385681676,0.9851951886743295,-0.006297283826266505,0.9523865544854447,-0.12619672731159406,-0.25999037408072206,-0.09715576275523873
10,8835.0,0.7847953997468574,-0.08580653995742032,0.6031077617537635,-0.11399318378338126,0.21050030836838468,0.12834458746271857,0.9690896913253477,-0.009080595397985763,0.9174018299791471,-0.16674160997044085,-0.34560880803788724,-0.10547829000324346
11,8868.0,0.7893054832767604,-0.09008834495705022,0.5956674945571465,-0.11857984693931437,0.2633831964708888,0.1318793581271805,0.9555757625633272,-0.010587195958123378,0.8936886119804216,-0.19208679664577435,-0.3879240395240966,-0.11806043761641491
12,8901.0,0.7861754759280775,-0.08745943231168546,0.6011032611244124,-0.11381492966467523,0.2729634000204929,0.14378452241588882,0.9510020672056303,-0.02029929884268869,0.8872461889684091,-0.19901966340679705,-0.39551298608682856,-0.12944053296846236
13,8935.0,0.7830147027333244,-0.089259288281699,0.6052303784116577,-0.1123251699601208,0.29753488591053945,0.1429297815346052,0.9437128743310436,-0.021215089877547243,0.8731162476060355,-0.22681336354562828,-0.40967851249721393,-0.13559953053585663
14,8968.0,0.7730595766729538,-0.09262138796559163,0.6179822811263376,-0.10907827290276066,0.34396440809168416,0.13511936038833985,0.9290558463655036,-0.01692568310175039,0.8473413992486523,-0.2572276549218562,-0.44184902306063706,-0.14358247623961362
15,9001.0,0.7608567241222464,-0.09474432456503103,0.6324884775134839,-0.10990397687688586,0.4238492847466522,0.11364250817746947,0.8981493883719066,-0.027655746637095146,0.7914435949556893,-0.3214081587024626,-0.49614040661670034,-0.15543014008010994
16,9035.0,0.7544984747395597,-0.09594342925464658,0.6396680699492654,-0.11113806857201675,0.4263240783909178,0.10545541567911486,0.8981571955380709,-0.02099017844772131,0.7838849884424051,-0.352144804774317,-0.4860306532555573,-0.1590363652158984
17,9068.0,0.7341178171497172,-0.10268635679540036,0.6616755267562198,-0.11274768274027233,0.4117171381709287,0.09575264373133935,0.906090681813222,-0.017891497591028763,0.7808987117562048,-0.3956599354355445,-0.4574781262824861,-0.15609029899934937
18,9101.0,0.735231547690497,-0.10452320927007822,0.6597373552306205,-0.1151351037599999,0.41654926205095766,0.09701218849334142,0.9038035343522832,-0.014646462400731175,0.7697529640259988,-0.4225483150565774,-0.44859767809631396,-0.1664133979661276
19,9135.0,0.7420177292406135,-0.10755558750135154,0.6505729086152844,-0.12081546120299107,0.4393377514727434,0.10880534214813298,0.8906821555322326,-0.042767224218523275,0.7344495258478461,-0.4733168158034823,-0.4475551478463857,-0.1903929502259113
20,9168.0,0.7325472166151192,-0.1019580975238667,0.6637052274484765,-0.11168926911893187,0.4364471395117715,0.09254278585077282,0.8934841783711168,-0.05133955784247385,0.718326932323129,-0.5116304372040262,-0.43502621160128396,-0.18163950353789945
21,9201.0,0.7312209391300541,-0.10114704983328143,0.6654733707788766,-0.11059116272101148,0.4394930173527023,0.09699300728398902,0.8914817103504122,-0.05194809281320119,0.7090178735482243,-0.5279167028436436,-0.4266685966721687,-0.19118451417845655
